Freq CorrFreq FreqError Voltage VError Resistance ResError Current MagneticField gFactor gFactorErr
7.50E+04 7.50E+07 1.00E+04 1.4 0.2 1.6 0.1 0.875 3.76E-03 1.42679    2.2236e-01
7.50E+04 7.50E+07 1.00E+04 1.5 0.2 1.6 0.1 0.938 4.03E-03 1.33167    1.9599e-01
7.50E+04 7.50E+07 1.00E+04 2.6 0.2 1.6 0.1 1.625 6.98E-03 0.76827    7.6103e-02
7.50E+04 7.50E+07 1.00E+04 2.9 0.2 1.6 0.1 1.813 7.78E-03 0.68880    6.4072e-02
8.00E+04 8.00E+07 1.00E+04 1.5 0.1 1.5 0.1 1.000 4.29E-03 1.33121    1.2548e-01
8.00E+04 8.00E+07 1.00E+04 1.5 0.1 1.5 0.1 1.000 4.29E-03 1.33121    1.2548e-01
8.00E+04 8.00E+07 1.00E+04 1.5 0.1 1.5 0.1 1.000 4.29E-03 1.33121    1.2548e-01
8.00E+04 8.00E+07 1.00E+04 2.8 0.1 1.5 0.1 1.867 8.02E-03 0.71315    5.3924e-02
8.49E+04 8.49E+07 1.00E+04 1.15 0.1 1.5 0.1 0.767 3.29E-03 1.84317   2.0187e-01
8.49E+04 8.49E+07 1.00E+04 1.05 0.1 1.5 0.1 0.700 3.01E-03 2.01871   2.3457e-01
8.49E+04 8.49E+07 1.00E+04 2 0.1 1.5 0.1 1.333 5.73E-03 1.05982      8.8278e-02
8.49E+04 8.49E+07 1.00E+04 2 0.1 1.5 0.1 1.333 5.73E-03 1.05982      8.8278e-02
9.03E+04 9.03E+07 1.00E+04 2.15 0.1 1.5 0.1 1.433 6.16E-03 1.04863   8.5199e-02
9.03E+04 9.03E+07 1.00E+04 2 0.1 1.5 0.1 1.333 5.73E-03 1.12727      9.3893e-02
9.03E+04 9.03E+07 1.00E+04 1.25 0.1 1.5 0.1 0.833 3.58E-03 1.80364   1.8773e-01
9.03E+04 9.03E+07 1.00E+04 1.2 0.1 1.5 0.1 0.800 3.44E-03 1.87879    2.0040e-01
9.49E+04 9.49E+07 1.00E+04 1.4 0.1 1.6 0.1 0.875 3.76E-03 1.80514    1.7126e-01
9.49E+04 9.49E+07 1.00E+04 1.4 0.1 1.6 0.1 0.875 3.76E-03 1.80514    1.7126e-01
9.49E+04 9.49E+07 1.00E+04 2.1 0.1 1.6 0.1 1.313 5.64E-03 1.20342    9.4517e-02
9.49E+04 9.49E+07 1.00E+04 2.1 0.1 1.6 0.1 1.313 5.64E-03 1.20342    9.4517e-02
1.00E+05 1.00E+08 1.00E+04 2.2 0.1 1.6 0.1 1.375 5.91E-03 1.21153    9.3505e-02
1.00E+05 1.00E+08 1.00E+04 2.15 0.1 1.6 0.1 1.344 5.77E-03 1.23971   9.6455e-02
1.00E+05 1.00E+08 1.00E+04 1.5 0.1 1.6 0.1 0.938 4.03E-03 1.77691    1.6216e-01
1.00E+05 1.00E+08 1.00E+04 1.45 0.1 1.6 0.1 0.906 3.89E-03 1.83818   1.7086e-01
1.05E+05 1.05E+08 1.00E+04 1.5 0.1 1.6 0.1 0.938 4.03E-03 1.86055    1.7027e-01
1.05E+05 1.05E+08 1.00E+04 1.5 0.1 1.6 0.1 0.938 4.03E-03 1.86055    1.7027e-01
1.05E+05 1.05E+08 1.00E+04 2.3 0.1 1.6 0.1 1.438 6.17E-03 1.21340    9.2519e-02
1.05E+05 1.05E+08 1.00E+04 2.3 0.1 1.6 0.1 1.438 6.17E-03 1.21340    9.2519e-02
1.10E+05 1.10E+08 1.00E+04 2.35 0.1 1.5 0.1 1.567 6.73E-03 1.17205   9.2385e-02
1.10E+05 1.10E+08 1.00E+04 1.6 0.1 1.5 0.1 1.067 4.58E-03 1.72145    1.5678e-01
1.15E+05 1.15E+08 1.00E+04 1.65 0.1 1.6 0.1 1.031 4.43E-03 1.85644   1.6152e-01
1.15E+05 1.15E+08 1.00E+04 2.4 0.1 1.6 0.1 1.500 6.44E-03 1.27630    9.5808e-02
1.20E+05 1.20E+08 1.00E+04 2.35 0.1 1.6 0.1 1.469 6.31E-03 1.36243   1.0277e-01
1.20E+05 1.20E+08 1.00E+04 1.5 0.1 1.6 0.1 0.938 4.03E-03 2.13447    1.9460e-01
1.25E+05 1.25E+08 1.00E+04 1.6 0.1 1.6 0.1 1.000 4.29E-03 2.08254    1.8381e-01
1.25E+05 1.25E+08 1.00E+04 2.4 0.1 1.6 0.1 1.500 6.44E-03 1.38836    1.0414e-01
